frame,landmark,x,y,z,visibility
0,0,-0.01809067,1.4292375,-0.39383987,1.0
0,1,-0.0039009452,1.4450645,-0.38921747,1.0
0,2,-0.0012722176,1.4435658,-0.37705138,1.0
0,3,-0.0017433437,1.4450848,-0.37920478,1.0
0,4,-0.021777127,1.4501238,-0.39718592,1.0
0,5,-0.023895603,1.447581,-0.4076083,1.0
0,6,-0.014876211,1.4375768,-0.38808328,1.0
0,7,0.07320945,1.4448037,-0.2819443,1.0
0,8,-0.06202104,1.375798,-0.255813,1.0
0,9,0.023805693,1.4239936,-0.33848298,1.0
0,10,-0.0041984203,1.3813725,-0.36518642,1.0
0,11,0.1788366,1.280549,-0.13493568,1.0
0,12,-0.1026264,1.3289533,-0.03967619,1.0
0,13,0.24805737,1.0865811,-0.087313324,1.0
0,14,-0.13895117,1.0492252,-0.004626042,1.0
0,15,0.33092895,0.87623525,-0.0616038,1.0
0,16,-0.25771618,0.863014,-0.058673218,1.0
0,17,0.34809706,0.83972305,-0.060330622,1.0
0,18,-0.26069474,0.8246544,-0.08544082,1.0
0,19,0.32530957,0.831511,-0.08795158,1.0
0,20,-0.2504614,0.8502695,-0.12909451,1.0
0,21,0.33233085,0.8478981,-0.07669537,1.0
0,22,-0.25321454,0.85833657,-0.086846165,1.0
0,23,0.093035094,0.8563061,0.017899066,1.0
0,24,-0.091590516,0.8766578,-0.016505938,1.0
0,25,0.13250856,0.42809075,-0.04270024,1.0
0,26,-0.06788351,0.5167718,-0.048304416,1.0
0,27,0.14249052,0.05541563,0.03049688,1.0
0,28,-0.08600586,0.08443928,0.031406917,1.0
0,29,0.12081636,0.015286107,0.038048446,1.0
0,30,-0.089804485,0.049218293,-0.0011619478,1.0
0,31,0.088410005,0.0,-0.064321354,1.0
0,32,-0.08825372,0.0219397,-0.11433284,1.0
1,0,-0.026946308,1.4320524,-0.37258962,1.0
1,1,-0.013277796,1.4481683,-0.37147656,1.0
1,2,-0.009394233,1.4490876,-0.36041924,1.0
1,3,-0.010186737,1.4490384,-0.36311787,1.0
1,4,-0.027905967,1.4513483,-0.3777343,1.0
1,5,-0.03239242,1.4516963,-0.3868178,1.0
1,6,-0.02629911,1.4388192,-0.36608088,1.0
1,7,0.072947875,1.4454837,-0.2713227,1.0
1,8,-0.06916088,1.3814573,-0.2294243,1.0
1,9,0.021416824,1.4261982,-0.32576677,1.0
1,10,-0.0091985725,1.3815374,-0.34380037,1.0
1,11,0.17772657,1.2832968,-0.121845335,1.0
1,12,-0.10156848,1.3309747,-0.021412782,1.0
1,13,0.2456153,1.0908015,-0.07767224,1.0
1,14,-0.14652821,1.0506411,-0.00059129903,1.0
1,15,0.32399148,0.881317,-0.05400431,1.0
1,16,-0.2835033,0.87884045,-0.0645004,1.0
1,17,0.34383094,0.8472875,-0.05287511,1.0
1,18,-0.28867134,0.8476478,-0.09606264,1.0
1,19,0.3236741,0.838746,-0.08161155,1.0
1,20,-0.27895507,0.8711014,-0.13852257,1.0
1,21,0.32575858,0.85121083,-0.06920631,1.0
1,22,-0.28205112,0.8788741,-0.09277762,1.0
1,23,0.094725296,0.85789645,0.015452452,1.0
1,24,-0.09056963,0.87746036,-0.014255023,1.0
1,25,0.121031426,0.42927137,-0.04356586,1.0
1,26,-0.06753149,0.5179554,-0.04535243,1.0
1,27,0.12770769,0.057858586,0.030785318,1.0
1,28,-0.08930411,0.09018499,0.035615228,1.0
1,29,0.10930036,0.018642616,0.04159992,1.0
1,30,-0.09418635,0.054932073,0.0032711225,1.0
1,31,0.085458994,0.0011028554,-0.05772076,1.0
1,32,-0.09327656,0.0261194,-0.10753493,1.0
2,0,-0.03290405,1.4344549,-0.36450696,1.0
2,1,-0.016159417,1.4506488,-0.3663054,1.0
2,2,-0.014920769,1.4545991,-0.35432643,1.0
2,3,-0.014655424,1.4521341,-0.35614142,1.0
2,4,-0.030705057,1.4522655,-0.370608,1.0
2,5,-0.0351391,1.4536536,-0.37949947,1.0
2,6,-0.030148886,1.4419881,-0.35735148,1.0
2,7,0.07303402,1.4480162,-0.26731536,1.0
2,8,-0.070380636,1.3869483,-0.21701327,1.0
2,9,0.019592453,1.4280622,-0.32147834,1.0
2,10,-0.011239279,1.3851943,-0.33585986,1.0
2,11,0.18154383,1.2853832,-0.117084295,1.0
2,12,-0.09619552,1.3350528,-0.006069638,1.0
2,13,0.25029933,1.0960485,-0.07302974,1.0
2,14,-0.15229237,1.0643958,0.016959723,1.0
2,15,0.3287068,0.8885573,-0.046084784,1.0
2,16,-0.3095631,0.9139374,-0.053865865,1.0
2,17,0.3538174,0.85938334,-0.04544413,1.0
2,18,-0.31958514,0.88511795,-0.083955854,1.0
2,19,0.33800963,0.8505484,-0.074564904,1.0
2,20,-0.30939615,0.90982825,-0.12974712,1.0
2,21,0.33164713,0.8593259,-0.06297879,1.0
2,22,-0.30888548,0.9127248,-0.08333599,1.0
2,23,0.095362455,0.85832804,0.013202839,1.0
2,24,-0.08960566,0.8794281,-0.011980711,1.0
2,25,0.11946757,0.43034145,-0.052835137,1.0
2,26,-0.06854699,0.5222769,-0.045549177,1.0
2,27,0.11932217,0.061291456,0.033371314,1.0
2,28,-0.085665986,0.09475267,0.047931254,1.0
2,29,0.100280635,0.022758897,0.043632597,1.0
2,30,-0.09212918,0.059187986,0.01743897,1.0
2,31,0.06983915,0.00663813,-0.05423837,1.0
2,32,-0.091171704,0.025419094,-0.08698359,1.0
3,0,-0.039519712,1.444977,-0.34055287,1.0
3,1,-0.019225815,1.4617438,-0.33426082,1.0
3,2,-0.011388498,1.4594767,-0.3218635,1.0
3,3,-0.009737792,1.4597843,-0.32404763,1.0
3,4,-0.03837448,1.4772086,-0.33193547,1.0
3,5,-0.03743247,1.4671938,-0.34792492,1.0
3,6,-0.028928274,1.4499497,-0.3296688,1.0
3,7,0.07474396,1.4515913,-0.2366228,1.0
3,8,-0.068579756,1.3832638,-0.18400605,1.0
3,9,0.017688978,1.4319398,-0.2846561,1.0
3,10,-0.02675355,1.389169,-0.30174327,1.0
3,11,0.18699239,1.2792954,-0.10149114,1.0
3,12,-0.09079005,1.3445139,0.018938296,1.0
